"","da123...1.","sublayer1","sublayer3","sublayer5","L1vsL3_pvalue","L1vsL3_FDR","L1vsL5_pvalue","L1vsL5_FDR"
"22","SAA1, median [95%CI]","0 [0 6.581]","0 [0 5.477]","0 [0 4.817]","5.63e-17","1.13e-14","3.96e-40"," 1.13e-37"
"42","FABP4, median [95%CI]","0 [0 5.867]","0 [0 4.673]","0 [0 3.932]","5.01e-18","1.43e-15","1.06e-34"," 2.64e-32"
"45","MALAT1, median [95%CI]","3.469 [0 7.601]","2.749 [0 6.623]","2.332 [0 5.303]","1.53e-41","1.02e-38","7.83e-74"," 5.22e-71"
"105","CAMK2N1, median [95%CI]","6.214 [0 8.698]","5.566 [0 7.854]","5.034 [0 7.473]","1.58e-49","1.58e-46","3.93e-106","3.93e-103"
"213","HPCAL1, median [95%CI]","2.773 [0 6.81]","0 [0 5.483]","0 [0 4.374]","8.54e-75","1.71e-71","1.02e-107","2.03e-104"
"227","PPP3CA, median [95%CI]","3.926 [0 7.577]","3.417 [0 6.63]","3.128 [0 6.309]","1.37e-17","3.44e-15","1.07e-22"," 1.79e-20"
"272","ARPP19, median [95%CI]","4.689 [0 7.681]","4.211 [0 7.017]","3.752 [0 6.337]","6.25e-22","3.13e-19","3.3e-53"," 1.10e-50"
"281","EEF1A1, median [95%CI]","6.238 [2.139 8.598]","5.855 [2.407 8.097]","5.714 [2.656 7.848]","1.84e-19","7.36e-17","9.57e-33"," 2.13e-30"
"1704","PEA15, median [95%CI]","3.465 [0 7.213]","2.921 [0 6.429]","2.687 [0 5.998]","2.06e-17","4.58e-15","4.47e-21"," 6.38e-19"
"775","RPL4, median [95%CI]","4.971 [0 8.364]","4.488 [0 7.742]","4.357 [0 7.401]","1.27e-15","2.30e-13","4.32e-17"," 4.55e-15"
"540","C1QL2, median [95%CI]","0 [0 6.079]","0 [0 4.362]","0 [0 3.716]","8.59e-19","2.86e-16","1.11e-14"," 1.01e-12"
"1072","KCNIP2, median [95%CI]","0 [0 5.733]","0 [0 4.615]","0 [0 4.046]","4.3e-12","7.17e-10","9.92e-12"," 6.40e-10"
"180","NPTXR, median [95%CI]","2.88 [0 6.936]","2.243 [0 6.082]","2.239 [0 5.772]","5.37e-11","8.26e-09","1.56e-13"," 1.20e-11"
"13","ENC1, median [95%CI]","5.647 [0 8.3]","5.343 [0 7.885]","4.673 [0 7.219]","6.12e-11","8.75e-09","1.58e-68"," 7.92e-66"
"244","G0S2, median [95%CI]","0 [0 5.565]","0 [0 3.976]","0 [0 3.195]","1.84e-10","2.28e-08","4.26e-13"," 3.05e-11"
"329","SERPINE2, median [95%CI]","0 [0 6.497]","0 [0 5.627]","0 [0 4.735]","1.97e-10","2.28e-08","3.27e-28"," 5.94e-26"
"553","DDN, median [95%CI]","2.219 [0 6.309]","1.501 [0 5.383]","1.72 [0 5.03]","1.99e-10","2.28e-08","2.05e-13"," 1.52e-11"
"632","RTN4, median [95%CI]","5.342 [0 8.202]","4.978 [0 7.688]","4.575 [0 7.462]","2.05e-10","2.28e-08","1.57e-32"," 3.15e-30"
"195","GPM6A, median [95%CI]","5.773 [0 8.351]","5.509 [0 7.815]","5.252 [0 7.478]","4.64e-10","4.89e-08","1.6e-22"," 2.47e-20"
"569","EGR3, median [95%CI]","0 [0 6.303]","0 [0 5.168]","0 [0 4.466]","6.19e-10","6.19e-08","1.05e-11"," 6.56e-10"
"267","TSPYL1, median [95%CI]","4.035 [0 7.553]","3.641 [0 7.132]","3.507 [0 6.867]","7.7e-10","7.33e-08","8.66e-12"," 5.77e-10"
"381","C1QTNF4, median [95%CI]","2.867 [0 6.627]","2.424 [0 5.986]","2.359 [0 5.573]","1.27e-09","1.11e-07","4.94e-11"," 2.53e-09"
"853","SST, median [95%CI]","0 [0 4.164]","0 [0 3.152]","0 [0 2.882]","1.75e-09","1.46e-07","1.64e-09"," 7.30e-08"
"963","MAST3, median [95%CI]","2.642 [0 6.411]","2.195 [0 5.609]","1.878 [0 5.254]","1.09e-08","8.08e-07","3.17e-17"," 3.53e-15"
"333","ADH1B, median [95%CI]","0 [0 4.929]","0 [0 3.525]","0 [0 3.027]","1.07e-08","8.08e-07","2.57e-10"," 1.19e-08"
"319","NGEF, median [95%CI]","3.209 [0 7.492]","2.702 [0 6.72]","2.561 [0 6.445]","2.04e-08","1.46e-06","3.61e-11"," 2.00e-09"
"383","FKBP1A, median [95%CI]","3.289 [0 7.598]","2.786 [0 6.982]","2.427 [0 6.048]","4.27e-08","2.95e-06","1.34e-17"," 1.58e-15"
"1479","PRKCG, median [95%CI]","0 [0 5.596]","0 [0 4.625]","0 [0 4.146]","4.96e-08","3.20e-06","1.33e-13"," 1.06e-11"
"468","YJEFN3, median [95%CI]","0 [0 7.244]","0 [0 6.553]","0 [0 5.61]","7.63e-08","4.66e-06","4.02e-16"," 4.02e-14"
"537","SOWAHA, median [95%CI]","0 [0 6.946]","0 [0 5.497]","0 [0 4.571]","7.68e-08","4.66e-06","1.11e-19"," 1.48e-17"
"591","LAMP5, median [95%CI]","0 [0 6.103]","0 [0 4.859]","0 [0 4.228]","4.18e-09","3.35e-07","7.78e-08"," 2.88e-06"
"344","PLIN1, median [95%CI]","0 [0 4.33]","0 [0 3.513]","0 [0 2.767]","1.76e-07","1.04e-05","3.9e-11"," 2.05e-09"
"1152","PPDPF, median [95%CI]","3.638 [0 7.532]","3.221 [0 7.037]","3.049 [0 6.494]","2.44e-07","1.39e-05","1.21e-07"," 4.11e-06"
"1246","PPP1R1A, median [95%CI]","0 [0 6.09]","0 [0 5.054]","0 [0 4.422]","4.51e-07","2.37e-05","1.14e-07"," 3.91e-06"
"288","MEG3, median [95%CI]","2.48 [0 6.71]","2.102 [0 6.056]","1.994 [0 5.305]","6.4e-07","3.28e-05","2.25e-11"," 1.29e-09"
"161","FBXL16, median [95%CI]","3.873 [0 7.401]","3.59 [0 6.99]","3.407 [0 6.568]","8.49e-07","4.24e-05","2.2e-12"," 1.52e-10"
"1084","SEZ6L, median [95%CI]","0 [0 6.06]","0 [0 4.908]","0 [0 4.596]","1.07e-06","5.23e-05","1.98e-08"," 7.75e-07"
"1095","GNAL, median [95%CI]","0 [0 6.358]","0 [0 5.174]","0 [0 4.404]","3.03e-07","1.68e-05","8.64e-07"," 2.74e-05"
"232","HPCA, median [95%CI]","0 [0 7.322]","0 [0 6.514]","2.001 [0 6.34]","4.46e-08","2.97e-06","1.32e-06"," 4.07e-05"
"1452","PHYHIPL, median [95%CI]","0 [0 6.643]","0 [0 5.846]","0 [0 5.338]","3.15e-07","1.70e-05","2.33e-06"," 6.84e-05"
"622","CNR1, median [95%CI]","0 [0 4.428]","0 [0 3.601]","0 [0 3.05]","8.61e-10","7.82e-08","3.24e-06"," 9.38e-05"
"1186","MUC5B, median [95%CI]","0 [0 4.211]","0 [0 3.191]","0 [0 0]","3.45e-06","1.53e-04","1.77e-11"," 1.07e-09"
"743","PPFIA2, median [95%CI]","0 [0 6.514]","0 [0 5.906]","0 [0 5.257]","3.6e-06","1.57e-04","9.26e-07"," 2.89e-05"
"220","APLP1, median [95%CI]","4.07 [0 7.741]","3.81 [0 7.481]","3.59 [0 7.188]","7.2e-06","3.00e-04","1.1e-07"," 3.85e-06"
"852","CPLX2, median [95%CI]","2.923 [0 7.151]","2.521 [0 6.43]","2.432 [0 6.364]","8.32e-06","3.33e-04","4.75e-07"," 1.56e-05"
"353","PSD, median [95%CI]","3.043 [0 7.194]","2.622 [0 6.542]","2.391 [0 6.081]","9.35e-06","3.67e-04","3.85e-11"," 2.05e-09"
"1300","PCDH7, median [95%CI]","0 [0 6.561]","0 [0 5.713]","0 [0 5.014]","2.96e-06","1.35e-04","1.3e-05"," 3.42e-04"
"619","CAMKK1, median [95%CI]","0 [0 6.401]","0 [0 5.441]","0 [0 5.196]","1.21e-06","5.74e-05","1.95e-05"," 5.00e-04"
"255","CFD, median [95%CI]","0 [0 5.2]","0 [0 4.304]","0 [0 3.402]","2.35e-05","8.72e-04","1.22e-10"," 5.81e-09"
"1597","NPTX2, median [95%CI]","0 [0 6.301]","0 [0 5.232]","0 [0 4.665]","7.81e-06","3.19e-04","2.02e-05"," 5.13e-04"
